GEO_ID,NAME,S1901_C01_001E,S1901_C01_012E,S1901_C01_013E
Geography,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars)
8600000US40328,ZCTA5 40328,346,33000,57775
8600000US40330,ZCTA5 40330,8004,51257,65576
8600000US40334,ZCTA5 40334,7,-,N
8600000US40336,ZCTA5 40336,4867,32406,44592
8600000US40337,ZCTA5 40337,2022,45903,55211
8600000US40339,ZCTA5 40339,31,-,N
8600000US40342,ZCTA5 40342,8677,54221,70524
8600000US40346,ZCTA5 40346,215,-,37805
8600000US40347,ZCTA5 40347,1204,81591,107722
8600000US40348,ZCTA5 40348,305,40335,36082
8600000US40350,ZCTA5 40350,40,-,N
8600000US40351,ZCTA5 40351,7918,43385,64080
8600000US40353,ZCTA5 40353,8590,48958,58318
8600000US40356,ZCTA5 40356,16233,63870,95718
8600000US40358,ZCTA5 40358,512,48333,67331
8600000US40359,ZCTA5 40359,2642,51667,65247
8600000US40360,ZCTA5 40360,2693,48668,75887
8600000US40361,ZCTA5 40361,7293,48447,70262
8600000US40363,ZCTA5 40363,17,-,N
8600000US40370,ZCTA5 40370,1125,70905,69563
8600000US40371,ZCTA5 40371,1145,35813,51777
8600000US40372,ZCTA5 40372,831,69526,73072
8600000US40374,ZCTA5 40374,708,37917,51913
8600000US40376,ZCTA5 40376,22,-,N
8600000US40379,ZCTA5 40379,1548,57674,75252
8600000US40380,ZCTA5 40380,2408,51786,60504
8600000US40383,ZCTA5 40383,9238,66159,80822
8600000US40385,ZCTA5 40385,997,52202,58288
8600000US40387,ZCTA5 40387,747,43053,48827
8600000US40390,ZCTA5 40390,2361,71811,84330
8600000US40391,ZCTA5 40391,14434,54868,73618
8600000US40402,ZCTA5 40402,947,32776,41287
8600000US40403,ZCTA5 40403,9271,47703,62477
8600000US40404,ZCTA5 40404,0,-,-
8600000US40409,ZCTA5 40409,1264,47500,57785
8600000US40419,ZCTA5 40419,1565,41722,52007
8600000US40422,ZCTA5 40422,9225,50453,69479
8600000US40434,ZCTA5 40434,0,-,-
8600000US40437,ZCTA5 40437,2272,43596,52090
8600000US40440,ZCTA5 40440,901,50568,62921
8600000US40442,ZCTA5 40442,303,63125,65903
8600000US40444,ZCTA5 40444,5683,56393,70677
8600000US40445,ZCTA5 40445,300,26250,35983
8600000US40447,ZCTA5 40447,3408,25068,37512
